Francesca,Construction ID,Name,Form,Function,Formal Tags,Functional Tags,Schematicity Level,Examples 1,Source,Examples 2,Source,Examples 3,Source,Examples 4,Source,Examples 5,Source,Idiomaticity Level Function,Explain,Idiomaticity Level Form,Explain,Idiomaticity Level Restrictions,Explain,Idiomaticity Level Collocational Preferences,Explain,Idiomaticity Level Usage Familiarity,Explain,Data Collector,Notes
,105,"""stare per"" costruzione","V (""stare"") + Prep (""per"") + V","Semantico-pragmatica (imminenza di un'azione, intenzione)",formal idiom,time,partially filled/schematic,"non so se quello che  per dire può consolarla , e consolarmi , ma io "" me la sentivo "" .","CORIS 
https://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=1032310&End=1032310", per dimenticare i miglioramenti che sono stati apportati nella gestione dell ' intelligenza artificiale .,"CORIS
https://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=15796865&End=15796865 ",Oggi poi hanno superato ogni record negativo sono due ore che  cercando di inviare un bonifico e nulla da fare e al call center non rispondono .,"CORIS
https://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=28030080&End=28030080",Di colpo quello che  per fare perse ogni attrattiva .,"CORIS
https://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=36911164&End=36911164","Promettimi che non rivelerai a nessuno quello che  per dirti , a_meno_che non sia io a darti il permesso .","CORIS
https://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=38950204&End=38950204",,,,,,,,,,,Simona Izzi,
,106,"""al volo"" construction",N/V al volo,Pragmatica,adverb,"action, time, durativity",partially filled/schematic,Ti va un caffè al volo?,Parlante nativo,Alicia lesse al volo il messaggio ,CORIS,Mangiamo un panino al volo e poi ripartiamo,Parlante nativo,"Afferrai al volo il biglietto e vi lessi una scarna comunicazione : """,CORIS,Ti faccio un saluto al volo e poi vado a lavorare,Parlante nativo,,,,,,,,,,,Alice Cortesi,
,107,Fare finta,"Fare finta + preposizione (di) + verbo/ pron. indef
Fare finta + congiunzione (che) + frase subordinata
 ",Pragmatica,"che construction, prepositional phrase","fakeness, imitation",lexically filled, Facciamo finta che questo non sia successo,Dizionario Internazionale,Facciamo finta di aver ottenuto il lavoro,Dizionario internazionale,Fare finta di nulla,Treccani,Fai finta che io non ci sia,Parlante nativo,Fare finta di non vedere,Treccani,,,,,,,,,,,Lorenzo Tassinari,
,108,Far fare vs Lasciare fare,"Fare + un infinito 
Lasciare + un infinito ","Semantica, Pragmatica.","repetition, unformal","action, Causative construction         (the subject causes an action to be performed)",partially filled/schematic,Mia madre mi fa sempre mettere in ordine la mia stanza ,https://aulalingue.scuola.zanichelli.it/benvenuti/2017/11/09/i-verbi-causativi/  ,Ho fatto riparare la macchina al meccanico,https://accademiadellacrusca.it/it/consulenza/emfar-fare-qualcosa-a-qualcuno-emo-emda-qualcunoem-quando-il-causativo-causa-dubbi/17161 ,Ti faccio aspettare qualche minuto ,http://www.scudit.net/copertine/pdffarfare.pdf,Il padre lascia usare la macchina al figlio,http://www.scudit.net/copertine/pdffarfare.pdf,Ti lascio dormire a casa mia,http://www.scudit.net/copertine/pdffarfare.pdf,,,,,,,,,,,Mar'yana Galak,
,109,a discapito construction,a discapito + Prep + N/Pron,Semantic,,,partially filled/schematic,A partire dal 1999 cominciò il declino del club del principato a discapito di società più forti come il FC Santa Coloma ed il Sant Julià.,PAISA',Un altro argomento a discapito della sua teoria è che non è conosciuto nessun corso abbastanza lungo di un ghiacciaio che all' epoca avrebbe potuto trasportare delle pietre dalle colline alla pianura di Salisbury dove Stonehenge è stata costruita .,PAISA',"In breve tempo Rahvin divenne il vero sovrano , riempiendo la corte ed il regno di suoi fedeli servitori , a discapito di quelli fedeli alla regina.",PAISA',,,,,,,,,,,,,,,Alessandra Lombardi,
,110,"""tanto... quanto..."" contrstuction",tanto x quanto y,semantica,,,partially filled/schematic,Questa borsa è tanto bella quanto costosa,Esempio inventato da me,versa tanta acqua quanta ne assorbe la farina,https://dizionari.corriere.it/dizionario_italiano/T/tanto.shtml,"Quanto più brutali erano i giocatori, dal punto di vista della folla, tanto meglio.",Glosbe,,,,,,,,,,,,,,,Maria Scivicco,
,111,"Vedersela/Me la vedo io, veditela tu ",Morfologia e sintassi: verbo con uso intransitivo pronominale che si presenta in forme diverse.,"Il significato è ""occuparsi da soli di una data situazione""","complex predicates, unformal",action,partially filled/schematic,"Non ti preoccupare, me la vedo io.
 ",,Che se la vedino loro! Non ne voglio sapere nulla.­,,"Io di computer non ne capisco molto, veditela tu. ",,"Se non riesci a farlo, posso vedermela io.
 ",,"Hai scelto tu di fare l'università, te la devi vedere sa solo.
 
Adesso non ho tempo di fare i piatti, te la vuoi vedere tu? ",,,,,,,,,,,,Maria Olga Giaccari ,
,112,alla rinfusa ,prep + n ,modalità,,,lexically filled,Nella camera di Elena i vesiti sono sparsi alla rinfusa. ,Parlante nativo ,,,,,,,,,,,,,,,,,,,Chiara Acri ,
,113,Discontinuous reduplication N-dopo-N,Ni dopo Ni,MODIFIER = SUCCESSION / ITERATION / DISTRIBUTIVITY of N,"reduplication, discontinuous reduplication",intensification,partially filled/schematic,"Sono arrivata a capire, giorno dopo giorno, che siamo tutti ingannati da qualcosa o da qualcuno.",CORIS2021,"A Cagliari i giganti di Is Concias sono umiliati. Prima i vandali passavano indisturbati nel nurago, adesso sono addirittura i turisti a smontarlo pietra dopo pietra.",CORIS2021,"Effettivamente la Ferrari andava sempre migliorando, giro dopo giro, mano a mano che diminuiva la benzina.",CORIS2021,"Tutta la vita, la vostra e la loro. Traversina dopo traversina, galleria dopo galleria, stazione dopo stazione ci si rivela completamente. Quelli che abbiamo davanti non sono semplici viaggiatori, casuali utenti delle Ferrovie, ma uomini e donne mandati dal Fato. Diventano i nostri migliori amici ben sapendo che probabilmente, una volta arrivati, non li vedremo più.",CORIS2021,"MA ALLORA perché siamo qui? S’è chiesta mezza aula di Montecitorio al quarantesimo minuto del discorso di Massimo D’Alema […]. Minuto dopo minuto, numero su numero, il premier ha eretto l’ultimo baluardo, un muro di gomma sul quale far rimbalzare […] le ragioni mai nominate e neppure accennate per cui tutti erano stati convocati d’urgenza al capezzale del governo malato. Crisi, quale crisi?",CORIS2021,,,,,,,,,,,Francesca Masini,
,114,Discontinuous reduplication N-per-N,Ni per Ni,MODIFIER = SUCCESSION / ITERATION / DISTRIBUTIVITY of N,"reduplication, discontinuous reduplication",intensification,partially filled/schematic,"Esaminò il terreno centimetro per centimetro, spostando i vasi da fiori, esaminando dei vecchi sacchi.",CORIS2021,"[…] vogliamo potenziare sempre più la raccolta differenziata […] pensiamo quindi […] a individuare nuove aree per lo stoccaggio dei rifiuti speciali, con una raccolta terminal per terminal.",CORIS2021,"Il paesaggio è bellissimo, dolce, joyful; i bambini vanno a scuola, raccolti casa per casa, dal bus che passa ogni mattina.",CORIS2021,,,,,,,,,,,,,,,Francesca Masini,
,117,Reduplicazione discontinua del tipo: N-DET-N,"N DET N
(di cui DET è un articolo partitivo plurale).",INTENSIFICAZIONE,discontinuous reduplication,intensification,partially filled/schematic,"Signore dei signori
In Deuteronomio 10,17 Jahve è chiamato "" il Signore dei signori "" ( cf .  1 Timoteo 6,15 ) . ",ItWac Small,"Dio degli dei
perché il Signore vostro Dio è il Dio degli dei , il Signore dei signori , il Dio grande , forte e terribile , che non usa parzialità e non accetta regali , [ 18 ] rende giustizia all' orfano e alla vedova , ama il forestiero e gli dà pane e vestito .  ",ItWac Small,"Re dei re
Ritornato ad essere il mitico Re dei Re , ARDHASHIR vi costruisce il suo immenso palazzo reale .",ItWac Small,"Nodo dei nodi
Urge una nuova creatività anzitutto nella nostra cultura politica e quindi nelle sue forme e nelle sue strategie .  E' questo il nodo dei nodi che la sinistra deve sciogliere .",ItWac Complete,"Mistero dei misteri
Il non essere : il mistero dei misteri , l' ignoto degli ignoti",ItWac Complete,,,,,,,,,,,Vittoria Attolini,"Questa costruzione è piuttosto aperta: i suoi componenti, eccetto l'articolo partitivo, possono essere scelti arbitrariamente dal parlante, purchè siano sostantivi equivalenti, di cui il primo singolare ed il secondo plurale.
(L'idea è nata dalla visione di un episodio del cartone animato Spongebob, in cui il protagonista mostrava di essersi allacciato perfettamente le stringhe delle scarpe, creando così il nodo dei nodi, ossia un nodo perfetto. Siamo di fronte ad una evidente forma di intensificazione)."
,118,double verb assertion ,V1 (infinitive) V1,ASSERTION|APPROXIMATION,"repetition, assertion","approximation, sequentiality, assertion",fully schematic,"sport ne faccio, bere bevo, sono pure magra.",itTenTen20,"Se serve correre corro, ma di solito preferisco la sfida consumi ed un andatura tranquilla per godermi il panorama",itTenTen20,"Se c'è da correre corro, se c'è da andare piano vado piano... non mi preoccupo mai di dover consumare poco, guido e basta. ",itTenTen20,"per scrivere scrivo, ma nn riesco a viverci",itWAC,"Te lo chiedo, perchè dormire dormo , però, a parte i soliti due risvegli notturni...",itTenTen20,,,,,,,,,,,Giulia Gallai,
,119,Low version qualification,DET X dei poveri,QUALIFICATION of an external item Y through the reference to X,,,partially filled/schematic,"De Paola il cardine, ha 36 anni e mezzo, Neri la Fantasia, un tempo chiamato anche il Lentini dei poveri, 32 .",CORPUS: CORIS1980_2000,"Ieri ha perso Oliveira dopo 1 ' per espulsione forse troppo severa, seguita da una crisi di nervi. Da seguire Kallon, un Kluivert dei poveri. Sbaglia gol, ma ne fa tanti: a Reggio come a Cagliari, come a Genova .",CORPUS: CORIS1980_2000,I fichi una volta costituivano il pane dei poveri e in questa stagione si continuano a far seccare al sole e a farcire con le mandorle.,CORPUS: itTenTen20,"La Sardella, anche detta ""il caviale dei poveri"" è composta di neonate di sarde e acciughe essiccate al sole su tavole di legno e conservate in un impasto di olio e peperoncino.",CORPUS: MONITOR2008_10,"«Non a caso, la confessione è stata chiamata ""la psicoanalisi dei poveri""».",CORPUS: MONITOR2001_04,,,,,,,,,,,Jacopo Lombardi,
,120,Complemento di luogo in Friuli Venezia Giulia,là/lì/qua/qui + di + (articolo) + nome/pronome,"Espressione del complemento di luogo (stato, moto a, moto da)",formal idiom,intensification,partially filled/schematic,Ci vediamo là della scuola.,Dialoghi tra persone,Ti aspetto qua di casa mia.,Dialoghi tra persone,Sono lì di te.,Dialoghi tra persone,Vado là di Mario e torno.,Dialoghi tra persone,"Ero là del tabacchino che ti aspettavo, ma non arrivavi mai.",Dialoghi tra persone,,,,,,,,,,,Caterina Lupieri,
,121,Attenuazione del verbo,V un po',Attenuare l'azione.,"lexically open, verbi",attenuazione,partially filled/schematic,... come ? Ma con gli stessi missili del carro armatone ! Anzi il carro armato è dotato di grossi stinger ... ma guarda un po' te che coincideza ... è la stessa arma ( tralasciando le dimensioni ) che gli usa elargirono ai talebani nella guerra,ItWac Complete,") fatta da tutti i terrestri che hanno voglia e capacita' di scrivere le cose che sanno e diffonderle a tutti . Sentite un po' , per esempio : "" 1 . Biografia . Nasce a Palermo in un quartiere povero : La Kalsa , dove vivono tra gli altri Giovanni",Repubblica,"Città del Capo . SCOTTO : Cosa devo sentire !! Santa Maria di Leuca . BERTELLI : Ah ... Santa Maria di ... Vedi un po' che ho confuso un capo con un altro ? SCOTTO : Succede . BERTELLI : E di chi è , Santa Maria di Leuca ? SCOTTO : Rossa . BERTELLI",ItWac Complete,"semplicità , della leggerezza , della capacità di tirarsi indietro , quando occorre , di fronte alla realtà , e lasciare un po' che faccia lei . La prima inquadratura del film è bellissima e sembra già contenerne tutto lo spirito . È un dialogo fuori",ItWac Complete,"diceva al regista già noto nel mondo : "" Vedi caro , per questo film , soldi non ne ho , ma ti posso dare quel quadro . Trova un po' tu il modo di cavartela "" . Con quel quadro "" che però è restato nell' ufficio grandioso e delabre del produttore di cinema",Repubblica,,,,,,,,,,,Davide Baleani,"La Costruzione V un po' può anche:
 
- esprimere valori esortativi
esempio da ItWac Complete: , ma mentre la giornalista ne parlava hanno fatto vedere alcune immagini satellitari di Roma tratte indovinate un po' da dove ? Google Maps of course !! Ora questo era assolutamente sicuro visto che in alto a sinistra si vedeva chiaramente.
es da Repubblica: deve fare i conti con una realtà che , specialmente sulla costa jonica , non è certo entusiasmante . Facciamolo un po' , idealmente , questo giro in barca della regione . Dopo Maratea qualche possibilità di riparo c' è attorno all' Isola di
 
- esprimere valori ironici
esempio da ItWac Complete: . E l' Animoso sarà Vittorioso e sarà Orgoglioso di piantarti a terra con una lancia nel cuore , s' intende » . « Ma senti un po' ! » ironeggiò Orlando . « Be' , non so proprio se mi fermerò a darti una lezione . Potrei farlo solo se fossi sicuro che
 
- esprimere idee inaspettate
esempio da ItWac Complete: ufficiale della brigata . D' altronde è l' unica che ha avvertito il nostro "" fascino zenish "" ... io la arruolerei , pensa un pò ! Altra menzione è da farsi per la maglietta sfoggiata da Wild ... ero in estasi ! Wild tranquillo , se ho passato"
,122,Sbolognare + X,"V + X
X tendenzialmente corrisponde a un N
 ",Indica volontà di liberarsi di qualcuno/qualcosa.,"lexically open, assertion","vaghezza, IRRITATION, disappointment",partially filled/schematic,Cambiamenti sostanziali di questa realtà non se ne prevedono neanche per il futuro alla faccia delle promesse roboanti del direttore generale forse condizionato dal programma elettorale dell'Assessore alla Sanità che prevede di sbolognare la patata difficile della psichiatria dalle Aziende Ospedaliere alle ASL .,itWaC,per chi è interessato[...] potrebbe essere un buon motivo per sbolognare il vecchio botolone in vista dell' acquisto del 360.,itWaC,Non riusciamo a sbolognare un giocatore che sia uno.,itWaC,"Indubbio invece il vantaggio di sbolognare hardware vecchio , che magari con Linux funzionerebbe benissimo , e rivenderlo a un prezzo esagerato...",itWaC,adesso ho terminato francese ... e x sabato termino anche latino ... così poi mi manca solo il libro di inglese e i 3 temi di italiano che x forza me li devo sbolognare in due settimane ...,itWaC,,,,,,,,,,,Lavinia Fanelli,"Dal Vocabolario online Treccani: ""v. tr. [voce di origine furbesca, derivata prob. da Bologna, dove si fabbricavano e si vendevano oggetti d’oro falso o di bassa lega (oro di Bologna)] (io sbológno, ... noi sbologniamo, voi sbolognate, e nel cong. sbologniamo, sbologniate). – 1. a. Dare via, spacciare monete false: mi hanno appioppato dieci euro falsi, e non ho il coraggio di sbolognarli. b. estens. Dare via un oggetto di nessun valore o utilità, o di pessimo gusto, ricavandone o no un compenso: è una stoffa che ho in negozio da più di un anno, e non mi riesce di sbolognarla; quel soprammobile è orribile, al primo matrimonio lo sbologno come regalo. c. fig. Mandare via, togliersi di torno una persona non gradita, spec. un dipendente o un familiare: quell’impiegato non mi va a genio, ho intenzione di sbolognarlo al più presto; con tutti i quattrini che hanno, non riescono a s. le figlie (cioè a farle sposare). 2. Con la particella pron., e il pron. la indefinito, sbolognarsela, battersela, svignarsela"".
Tra parlanti sembra prevalere l'uso esemplificato in 1. b. 
Nell'uso comune il verbo sembra esprimere un'azione dettata da una certa impellenza.
 "
